ticket_id,text
1,"I just upgraded to ChatGPT Plus but I'm still seeing the message limit. Can you fix this?"
2,"API keeps returning 'rate_limit_exceeded' even though my usage dashboard shows I'm under quota. Please help urgently."
3,"My GPT-4o responses are extremely slow today — over 30 seconds. Is there an outage?"
4,"How do I export my full ChatGPT conversation history? I need it for work."
5,"I accidentally deleted an important thread. Is there any way to recover it?"
6,"The billing page shows two charges for the same month. This seems like double billing."
7,"Can I use the OpenAI API commercially for my SaaS product? Need licensing clarification."
8,"My API key stopped working suddenly with 'invalid_api_key' error even though I copied it correctly."
9,"Voice mode on mobile app is completely silent — no audio output at all."
10,"I want to cancel my Plus subscription but the button is grayed out. Help!"
11,"Getting 'context_length_exceeded' on a prompt that worked fine yesterday."
12,"The new GPT-4o-mini model is giving worse answers than GPT-4. Is this expected?"
13,"Can you increase my rate limit? I'm building a production app and hitting limits constantly."
14,"My team needs SSO/login with Microsoft Azure AD. When will this be supported?"
15,"The web app keeps logging me out every 10 minutes. Very frustrating."
16,"I see a new 'Projects' feature but it's not available in my account. How do I enable it?"
17,"Why is image generation disabled in my ChatGPT Plus account?"
18,"The API billing dashboard is completely blank — just shows loading spinner forever."
19,"How do I share a GPT I built with my team? The share link isn't working."
20,"I was charged $20 but my usage is only $3. Please refund the difference."
21,"My custom GPT keeps forgetting instructions after a few messages."
22,"The mobile app crashes every time I try to upload a PDF for analysis."
23,"I need an invoice with my company VAT number for accounting purposes."
24,"Can you provide SOC 2 / GDPR compliance documents for enterprise use?"
25,"The model is refusing to answer basic coding questions saying it's against policy."
26,"My organization wants to block ChatGPT for employees. How do we do that?"
27,"Getting 500 errors from api.openai.com consistently this morning."
28,"I want to switch from monthly to annual billing for the discount."
29,"The usage cost calculator on the website is different from my actual bill."
30,"Can I get a refund? I accidentally bought Plus twice."
31,"My API requests are taking 15+ seconds — used to be under 2 seconds."
32,"How do I delete my OpenAI account permanently?"
33,"The new memory feature isn't remembering anything across sessions."
34,"I need to speak to a human — the bot isn't solving my issue."
35,"My credit card was charged in USD but I’m in Europe. Why no EUR billing?"
36,"The playground is stuck on 'Thinking...' for over 5 minutes."
37,"Can I use the OpenAI logo on my website if I integrate the API?"
38,"My fine-tuned model disappeared from the dashboard. Where did it go?"
39,"I need access to the 128k context version of GPT-4. How do I get it?"
40,"The iOS app won't let me log in with my Google account anymore."
41,"Why does the model keep saying 'I can't help with that' for harmless prompts?"
42,"My team needs spend limits per user. Is this feature available?"
43,"The usage bar shows 99% but I only used it twice today."
44,"Can you provide a certificate of insurance for our procurement team?"
45,"The web search feature in ChatGPT is returning outdated information."
46,"I want to integrate ChatGPT into Slack for my team. Is there an official bot?"
47,"My API key was exposed on GitHub. Please rotate it immediately."
48,"The response streaming is broken — I only get the full answer at the end."
49,"How do I change the email address associated with my OpenAI account?"
50,"Amazing product! Just wanted to say thank you — loving the new voice mode :)"